chunk_size,top_k,f1,em,faithfulness,citation_acc,context_recall,context_precision
128,5,0.19585576906634444,0.0,0.5981481481481481,0.24259259259259258,0.9833333333333333,0.9833333333333333
128,10,0.19996189523689428,0.0,0.6388888888888888,0.25,0.9833333333333333,0.9833333333333333
256,5,0.21490354531359374,0.001851851851851852,0.6425925925925926,0.25,1.0,1.0
256,10,0.19771233042651462,0.0,0.5611111111111111,0.25555555555555554,1.0,1.0
